run_date,reporting_period,reporting_airport,origin_destination_country,origin_destination,airline_name,scheduled_charter,number_flights_matched,actual_flights_unmatched,number_flights_cancelled,flights_more_than_15_minutes_early_percent,flights_15_minutes_early_to_1_minute_early_percent,flights_0_to_15_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,flights_between_31_and_60_minutes_late_percent,flights_between_61_and_120_minutes_late_percent,flights_between_121_and_180_minutes_late_percent,flights_between_181_and_360_minutes_late_percent,flights_more_than_360_minutes_late_percent,flights_unmatched_percent,flights_cancelled_percent,average_delay_mins,previous_year_month_flights_matched,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay
17/08/2024 14:54,202406,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,DUNDEE,LOGANAIR LTD,S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14,75.000000,4.071429
17/08/2024 14:54,202406,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,EAST MIDLANDS INTERNATIONAL,EMERALD AIRLINES UK LTD,S,60,0,0,10.000000,50.000000,31.666667,8.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.050000,64,67.187500,13.765625
17/08/2024 14:54,202406,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,EDINBURGH,AER LINGUS,S,0,0,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0,0.000000,0.000000
17/08/2024 14:54,202406,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,EDINBURGH,BA CITYFLYER LTD,C,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,100.000000,0.000000
17/08/2024 14:54,202406,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,EDINBURGH,EASTERN AIRWAYS,C,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,100.000000,0.000000
17/08/2024 14:54,202406,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,EDINBURGH,EMERALD AIRLINES UK LTD,S,204,0,1,1.463415,30.731707,43.414634,9.756098,6.829268,4.390244,2.926829,0.000000,0.000000,0.000000,0.487805,15.500000,202,69.306931,17.113861
17/08/2024 14:54,202406,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,EXETER,AER LINGUS,S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8,37.500000,28.000000
17/08/2024 14:54,202406,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,EXETER,EMERALD AIRLINES UK LTD,S,60,0,0,8.333333,26.666667,35.000000,6.666667,10.000000,10.000000,3.333333,0.000000,0.000000,0.000000,0.000000,20.550000,52,82.692308,12.730769
17/08/2024 14:54,202406,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,FARNBOROUGH,GAMA AVIATION (UK) LTD,C,1,0,0,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000
17/08/2024 14:54,202406,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,GLASGOW,AER LINGUS,S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6,0.000000,51.500000
17/08/2024 14:54,202406,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,GLASGOW,EASYJET UK LTD,S,54,0,0,3.703704,46.296296,16.666667,11.111111,16.666667,1.851852,3.703704,0.000000,0.000000,0.000000,0.000000,15.481481,26,61.538462,17.038462
17/08/2024 14:54,202406,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,GLASGOW,EMERALD AIRLINES UK LTD,S,94,0,0,8.510638,58.510638,19.148936,6.382979,7.446809,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.446809,100,83.000000,12.570000
17/08/2024 14:54,202406,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,INVERNESS,LOGANAIR LTD,S,44,0,0,2.272727,45.454545,31.818182,13.636364,6.818182,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.954545,60,81.666667,18.133333
17/08/2024 14:54,202406,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,ISLE OF MAN,EMERALD AIRLINES UK LTD,S,16,0,0,6.250000,50.000000,37.500000,6.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.375000,52,48.076923,27.057692
17/08/2024 14:54,202406,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,JERSEY,EMERALD AIRLINES UK LTD,S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16,68.750000,19.125000
17/08/2024 14:54,202406,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,LEEDS BRADFORD,AER LINGUS,S,0,0,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,2,0.000000,115.500000
17/08/2024 14:54,202406,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,LEEDS BRADFORD,EMERALD AIRLINES UK LTD,S,206,0,1,10.628019,50.724638,27.053140,4.347826,4.347826,2.415459,0.000000,0.000000,0.000000,0.000000,0.483092,5.961165,165,79.393939,11.587879
17/08/2024 14:54,202406,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,LIVERPOOL (JOHN LENNON),EASYJET UK LTD,S,84,0,0,4.761905,64.285714,20.238095,3.571429,7.142857,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.250000,108,83.035714,6.962963
17/08/2024 14:54,202406,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,GATWICK,EASYJET UK LTD,S,170,0,10,2.222222,17.222222,31.111111,17.222222,16.666667,9.444444,0.000000,0.555556,0.000000,0.000000,5.555556,23.952941,115,55.905512,19.886957
17/08/2024 14:54,202406,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,HEATHROW,BRITISH AIRWAYS PLC,S,352,0,4,0.842697,31.179775,33.146067,14.325843,14.325843,3.932584,0.561798,0.561798,0.000000,0.000000,1.123596,16.505682,325,59.064327,20.036923
17/08/2024 14:54,202406,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,LONDON CITY,BA CITYFLYER LTD,S,112,0,3,0.869565,49.565217,26.086957,12.173913,6.086957,2.608696,0.000000,0.000000,0.000000,0.000000,2.608696,9.321429,151,76.729560,11.364238
17/08/2024 14:54,202406,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,LUTON,EASYJET UK LTD,S,44,0,4,25.000000,31.250000,18.750000,0.000000,6.250000,10.416667,0.000000,0.000000,0.000000,0.000000,8.333333,14.090909,6,66.666667,10.500000
17/08/2024 14:54,202406,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,MANCHESTER,AER LINGUS,S,0,0,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0,0.000000,0.000000
17/08/2024 14:54,202406,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,MANCHESTER,EASYJET UK LTD,S,78,0,4,23.170732,29.268293,14.634146,7.317073,14.634146,6.097561,0.000000,0.000000,0.000000,0.000000,4.878049,15.179487,6,66.666667,10.500000
17/08/2024 14:54,202406,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,MANCHESTER,EMERALD AIRLINES UK LTD,S,175,0,1,11.363636,59.659091,18.181818,3.977273,2.840909,3.409091,0.000000,0.000000,0.000000,0.000000,0.568182,6.205714,207,77.884615,12.405797
17/08/2024 14:54,202406,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,NEWCASTLE,EMERALD AIRLINES UK LTD,S,52,0,0,26.923077,51.923077,17.307692,3.846154,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.923077,59,83.050847,9.118644
17/08/2024 14:54,202406,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,NEWQUAY,EMERALD AIRLINES UK LTD,S,20,0,0,0.000000,50.000000,30.000000,0.000000,10.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.350000,44,84.090909,4.863636
17/08/2024 14:54,202406,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,NORTHOLT,LONDON EXECUTIVE AVIATION LTD,C,1,0,0,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000
17/08/2024 14:54,202406,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,SOUTHAMPTON,EMERALD AIRLINES UK LTD,S,154,0,0,13.636364,44.805195,25.324675,11.038961,3.246753,1.298701,0.649351,0.000000,0.000000,0.000000,0.000000,6.850649,104,67.307692,15.778846
17/08/2024 14:54,202406,BELFAST CITY (GEORGE BEST),DENMARK,COPENHAGEN,2 EXCEL AVIATION LTD T/A THE BLADES BROADSWORD SCIMITAR SABRE AND T2,C,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,100.000000,3.000000
